id,dim1,dim2,type,meta
D1-D4-0,D1,D4,codata,{'codata_key': 'planck_constant'}
D4-D7-1,D4,D7,codata,{'codata_key': 'speed_of_light'}
D3-D6-2,D3,D6,codata,{'codata_key': 'gravitational_constant'}
D7-D10-3,D7,D10,codata,{'codata_key': 'electron_mass'}
D7-D8-4,D7,D8,codata,{'codata_key': 'boltzmann_constant'}
D1-D3-5,D1,D3,codata,{'codata_key': 'avogadro_constant'}
D8-D11-6,D8,D11,codata,{'codata_key': 'elementary_charge'}
D1-D2-7,D1,D2,derived,{'source': 'planck_constant'}
D4-D5-8,D4,D5,derived,{'source': 'planck_constant'}
D7-D9-9,D7,D9,derived,{'source': 'planck_constant'}
D8-D11-10,D8,D11,derived,{'source': 'elementary_charge'}
D7-D8-11,D7,D8,derived,{'source': 'planck_constant'}
D4-D5-12,D4,D5,derived,{'source': 'speed_of_light'}
D1-D2-13,D1,D2,derived,{'source': 'electron_mass'}
D3-D12-14,D3,D12,derived,{'source': 'gravitational_constant'}
D6-D9-15,D6,D9,derived,{'source': 'boltzmann_constant'}
D8-D10-16,D8,D10,derived,{'source': 'elementary_charge'}
D1-D7-17,D1,D7,derived,{'source': 'planck_constant'}
D3-D9-18,D3,D9,derived,{'source': 'avogadro_constant'}
D8-D11-19,D8,D11,derived,{'source': 'planck_constant'}
D2-D11-20,D2,D11,derived,{'source': 'elementary_charge'}
D7-D9-21,D7,D9,derived,{'source': 'planck_constant'}
D4-D6-22,D4,D6,derived,{'source': 'speed_of_light'}
D3-D9-23,D3,D9,derived,{'source': 'gravitational_constant'}
D10-D12-24,D10,D12,derived,{'source': 'planck_constant'}
D2-D8-25,D2,D8,derived,{'source': 'elementary_charge'}
D7-D8-26,D7,D8,derived,{'source': 'boltzmann_constant'}
D1-D10-27,D1,D10,derived,{'source': 'planck_constant'}
D4-D6-28,D4,D6,derived,{'source': 'speed_of_light'}
D3-D12-29,D3,D12,derived,{'source': 'gravitational_constant'}
